empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C8H9Cl2O3P/c9-7-2-1-6(8(10)5-7)3-4-14(11,12)13/h1-2,5H,3-4H2,(H2,11,12,13)",253.966636,86084510
,"InChI=1S/C8H9Cl2O3P/c9-7-2-1-6(5-8(7)10)3-4-14(11,12)13/h1-2,5H,3-4H2,(H2,11,12,13)",253.966636,86084504
,"InChI=1S/C8H9Cl2O3P/c1-5-6(4-14(11,12)13)2-3-7(9)8(5)10/h2-3H,4H2,1H3,(H2,11,12,13)",253.966636,20562195
,"InChI=1S/C8H9Cl2O3P/c9-6-8(10,14(11,12)13)7-4-2-1-3-5-7/h1-5H,6H2,(H2,11,12,13)",253.966636,85581423
,"InChI=1S/C8H9Cl2O3P/c9-7(8(10)14(11,12)13)6-4-2-1-3-5-6/h1-5,7-8H,(H2,11,12,13)",253.966636,69908056
,"InChI=1S/C9H9Cl3O2/c1-4-5(10)7(14)9(11,12)8(2,3)6(4)13/h1-3H3",253.966813,13776961
,"InChI=1S/C3H11IO5/c1-2-3-9-4(5,6,7)8/h5-8H,2-3H2,1H3",253.965121,87084660
,"InChI=1S/C8H9Cl2O3P/c1-12-14(2,11)13-8-4-3-6(9)5-7(8)10/h3-5H,1-2H3",253.966636,85847389
,"InChI=1S/C8H9Cl2O3P/c1-12-14(11,13-2)8-4-6(9)3-7(10)5-8/h3-5H,1-2H3",253.966636,11459486
,InChI=1S/C10H4Cl2N2O2/c11-7-2-1-6(3-8(7)12)9-4-10(13-5-15)16-14-9/h1-4H,253.964983,83802912
,"InChI=1S/C8H9Cl2O3P/c1-12-14(11,8(9)10)13-7-5-3-2-4-6-7/h2-6,8H,1H3",253.966636,85976953
,"InChI=1S/C8H9Cl2O3P/c1-12-14(11,13-2)8-5-6(9)3-4-7(8)10/h3-5H,1-2H3",253.966636,13836147
,"InChI=1S/C8H9Cl2O3P/c1-2-13-14(11,12)8-4-3-6(9)5-7(8)10/h3-5H,2H2,1H3,(H,11,12)",253.966636,59481704
,"InChI=1S/C8H9Cl2O3P/c1-2-13-14(11,12)8-4-6(9)3-7(10)5-8/h3-5H,2H2,1H3,(H,11,12)",253.966636,57681269
,"InChI=1S/C9H9Cl3O2/c1-5(13)4-14-9-7(11)2-6(10)3-8(9)12/h2-3,5,13H,4H2,1H3/t5-/m0/s1",253.966813,81847503
