smiles,m/z,I
N1=C2SCCN2CC1C=3C=CC=CC3,[178.0663 205.0766 206.0804 207.0722],[  0.577938 100.        11.928363   2.96809 ]
N1=C2SCCN2CC1C=3C=CC=CC3,[123.021  129.0625 145.0735 178.0588 179.0628 180.0616 205.0762 206.0792],"[  0.83768    1.305664   0.583025  24.704857   2.279606   0.679079
 100.        10.182838]"
N1=C2SCCN2CC1C=3C=CC=CC3,"[115.0466 117.0497 117.0677 118.0581 123.0209 124.0252 128.042  128.0552
 129.0622 130.0578 131.0657 132.0735 135.0211 144.0737 145.0583 145.0697
 146.0529 147.0943 150.0317 155.0534 178.0585 179.0626 180.0614 188.0428
 205.0758 206.0794]","[  2.326829   2.178308   2.875531   4.74442   18.717769   1.324312
   1.101531   5.144602   8.329552   3.878048   2.401089   1.910145
   1.873015   3.292215   0.548703   2.524857   0.771484   0.717851
   3.411857   0.713726 100.         8.271793   2.776517   1.575973
  65.332728   5.425141]"
N1=C2SCCN2CC1C=3C=CC=CC3,"[115.047  116.053  117.05   117.0621 118.0571 119.0657 123.0208 125.0172
 128.0412 128.0545 129.0622 130.0575 131.0663 132.0731 135.0208 144.0735
 145.0582 145.0738 146.0942 148.0168 150.031  155.0536 178.0585 179.0631
 180.0582 188.0431 205.076 ]","[ 17.452935   1.993355  21.594684   8.41639   17.674419   3.477298
  72.668882   2.724252   5.93577   46.688815  19.911406  57.585825
  12.757475  10.985604   8.283499  15.902547   6.20155    3.433001
   7.286822   3.122924   9.080842   7.72979  100.         7.596899
   2.857143   2.192691  17.696567]"
N1=C2SCCN2CC1C=3C=CC=CC3,"[115.0462 116.0516 117.0492 118.0573 124.0239 126.0459 127.0462 128.0415
 128.0539 129.0619 130.0575 131.0644 132.0729 135.0214 144.0735 145.0582
 148.0159 150.0313 155.0574 178.0655]","[ 22.914019   3.854299  29.648454  14.527742   3.51546    3.26133
  10.842863   6.988564  65.523083   8.936891 100.        15.925455
   7.581533   4.489623  11.181703  11.054638   3.684879   3.34604
   8.725116  15.96781 ]"
BrC=1C=C(Br)C(N)=C(C1)CN(C)C2CCCCC2,[261.8769 262.8792 263.8751 264.8829 374.9993 376.9928 377.9995],"[ 61.451674   3.572772 100.         2.895825  35.351636  53.177886
   6.393381]"
BrC=1C=C(Br)C(N)=C(C1)CN(C)C2CCCCC2,[114.1262 261.8773 262.8852 263.8752 264.879 ],[  6.575342  57.722603   3.681507 100.         2.44863 ]
BrC=1C=C(Br)C(N)=C(C1)CN(C)C2CCCCC2,[182.9585 261.8763 262.8795 263.8752],[  8.150248  46.279235   6.732814 100.      ]
BrC=1C=C(Br)C(N)=C(C1)CN(C)C2CCCCC2,[181.9574 182.9583 184.9573 261.8776 263.8745],[  7.274401  34.898711  15.837937  66.11418  100.      ]
O=C(N=NC=C1C=N(=O)C=2C=CC=CC2N1O)OC,[229.0682 231.0421 232.0473 263.0729 264.0771],[  1.090364  47.451274   3.448276 100.         8.825133]
O=C(N=NC=C1C=N(=O)C=2C=CC=CC2N1O)OC,"[129.0391 130.0467 131.0549 145.0332 146.042  147.05   159.0494 163.0435
 164.0474 170.0541 175.0435 176.0492 184.0659 187.0533 188.037  191.0377
 197.0403 203.0486 229.0678 230.0664 231.043  232.0468 263.0729]","[  1.950113  12.033258  13.892668   5.21542    1.390779   2.569917
   8.133031  13.620559   1.466364   2.433862  15.842782   1.496599
   1.602419   4.973545   3.869992   1.254724   1.844293   5.593348
  24.006047   2.373394 100.         8.541194  14.754346]"
O=C(N=NC=C1C=N(=O)C=2C=CC=CC2N1O)OC,"[129.0389 130.0468 131.0546 143.0436 145.0339 147.0492 159.0495 163.0434
 170.0508 171.0371 172.045  173.065  175.0443 185.0735 187.0534 188.0378
 197.0377 198.0418 229.0678 231.0426]","[ 94.638404  95.63591   63.715711  20.947631  39.027431  63.840399
  49.25187  100.        13.341646  74.937656  29.052369  11.970075
  21.695761  15.586035  11.221945  25.685786  48.379052  12.094763
  59.226933  21.820449]"
O=C(N=NC=C1C=N(=O)C=2C=CC=CC2N1O)OC,"[116.0309 129.039  130.0465 131.0554 142.0475 143.0425 145.0336 147.0497
 155.0394 159.0482 163.0433 171.0374 172.0416 197.0376]","[ 13.807531 100.        30.334728  19.142259  11.820084  39.748954
  11.715481  33.786611  14.539749  10.983264  22.48954   51.464435
  13.389121  14.121339]"
O=C(N=NC=C1C=N(=O)C=2C=CC=CC2N1O)OC,"[116.0311 129.039  130.0465 142.0472 143.0431 145.0339 147.0493 155.0432
 171.0375]","[ 17.928287 100.        23.705179  14.940239  55.378486  17.330677
  24.900398  48.007968  29.482072]"
N=C1NC=C(C(=N)N1)CC2=CC(=C(C3=NC=CC=C32)N(C)C)C,[171.08   294.1529 295.1573 307.1608 309.1766 310.1812],[  0.576236   5.309499   0.830004   1.420259 100.        12.500526]
N=C1NC=C(C(=N)N1)CC2=CC(=C(C3=NC=CC=C32)N(C)C)C,"[155.0702 171.0818 172.0861 173.0947 184.0901 185.0981 187.1137 234.0935
 248.0841 260.0961 262.0997 263.1043 264.1142 265.1245 266.1303 267.1337
 276.1145 277.1226 278.1251 279.1298 280.1337 292.1363 294.1533 295.1572
 296.1559 307.1605 308.1645 309.1764 310.1802]","[  0.777928  27.917229   3.848149   0.586039   0.772741   1.555855
   3.246551   0.539363   0.783114   0.534177   4.880199   0.866093
   1.135774   1.799606  39.518722   3.977803   5.19137   26.82813
   4.024479  19.593403   2.722747   2.520485  73.934239   7.691111
   0.554922  28.259517   4.460118 100.        11.829686]"
N=C1NC=C(C(=N)N1)CC2=CC(=C(C3=NC=CC=C32)N(C)C)C,"[135.0642 143.0709 144.0785 154.0552 155.0632 156.0707 157.0781 158.0938
 167.0698 169.0665 170.0734 171.0825 172.0862 180.0715 182.0741 183.0818
 184.09   185.0977 187.1126 193.0731 195.0824 206.0743 207.0825 208.09
 217.0677 218.0754 219.0826 220.0775 221.0836 222.0987 224.11   232.079
 233.0864 234.0945 235.0984 236.0975 237.1055 238.1083 245.0749 247.0896
 248.0852 249.103  250.1028 251.1142 252.1154 259.0894 260.0953 261.102
 262.0993 263.1032 264.1138 265.1227 266.1308 267.1335 268.1383 275.1073
 277.1221 278.1267 279.1298 280.1338 281.1307 290.128  291.1267 292.1379
 294.1468 295.1502 307.162  308.1649 309.178 ]","[  0.624069   1.375789   2.97142    2.865045   3.978441   1.978583
   1.177221   1.453798   0.553152   1.808382   2.84377   31.898447
   5.39678    0.638253   0.624069   2.538827   1.58854    5.68754
   1.659457   0.716261   0.531877   1.035388   2.106234   0.716261
   1.177221   2.219701   1.12758    3.701865   1.021204   0.659528
   1.609815   0.79427    1.042479   2.191334   2.127509   0.595702
   3.609673   0.787178   0.624069   1.085029   4.134459   2.744486
   2.42536    1.007021   0.609886   1.581448   2.453727   2.184242
  25.047869   4.361393   3.900433   8.495851 100.        10.935395
   0.843912   0.730445  26.061981   4.47486   77.150557   9.290121
   0.680803   0.567336   3.560031   7.169704  15.112403   1.737465
  12.346642   2.432452   3.886249]"
N=C1NC=C(C(=N)N1)CC2=CC(=C(C3=NC=CC=C32)N(C)C)C,"[123.0646 142.059  143.0665 144.0741 145.0781 154.0546 155.0617 156.0702
 157.0781 158.0853 159.0904 166.0542 167.0627 168.0695 169.073  170.0726
 171.0815 172.0888 179.0505 180.0709 181.0786 182.0813 183.0817 184.0882
 185.0969 186.1004 192.0579 193.0658 194.0726 195.0813 196.0845 196.0895
 197.0985 205.0666 206.0748 207.0817 208.0872 209.0909 209.0971 210.0999
 217.0669 218.075  219.0701 220.0779 221.0818 222.0917 223.1014 224.11
 225.1144 232.0786 233.0847 234.0942 235.094  236.0903 236.1045 237.1048
 238.1079 245.0741 246.0788 247.0884 248.0846 249.1034 250.101  251.1198
 252.1143 259.0891 260.0958 261.0927 262.0997 263.1034 264.1138 265.1234
 266.1306 267.1344 274.0988 275.1061 276.1148 277.1187 278.1233 279.1316
 291.1312 292.1392 293.1455 294.1492 307.163 ]","[ 14.457831   2.827979   6.69344   13.738286   1.656627  20.013387
   7.931727  10.425033  10.073628   8.500669   1.740295   1.556225
   3.932396   2.376171   7.680723   7.613788  30.873494   3.965863
   1.288487   4.96988    2.995315   2.526774   9.521419   4.60174
  10.82664    2.995315   5.153949  12.784471   2.376171   6.475904
   2.141901   1.957831   1.455823   5.338019   6.64324   17.637216
   3.028782   1.706827   1.539491   4.166667   4.919679   4.953146
   3.229585  34.80589    5.62249    3.915663   3.932396  15.997323
   2.175368   6.793842   3.698126  18.055556   7.965194   2.978581
   2.292503  28.898929   3.363454   6.64324    2.041499   4.484605
  18.323293  16.967871  12.26573    6.2249     2.309237  12.968541
   5.187416   9.688755  53.078983  12.951807  17.653949  16.26506
 100.        12.08166    2.911647   2.208835  57.044846  13.721553
   4.96988   71.368809   9.15328    5.137216  31.475904   5.62249
   1.740295]"
O=C(OC1C(C)C(OC)C=COC2(OC3=C(C2=O)C=4C=5N=C6C=C(C=CN6C5C(N=C(O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)=C(O)C4C(O)=C3C)C)C)C,"[ 55.0532  57.0325  60.0545  67.0535  69.0332  69.0697  71.048   79.0549
  81.0697  83.0483  85.0647  93.0705  95.0499  95.0861  96.0893  97.0656
  97.1005 105.0719 107.0867 108.0903 109.0655 109.1026 111.0815 119.086
 121.0655 121.1012 122.1046 123.0809 123.1174 124.0847 125.0975 133.0644
 133.1013 135.0806 135.1173 136.0842 136.1211 137.0602 137.0964 137.133
 139.0753 139.1118 140.0795 141.0895 143.0866 145.101  146.1039 147.0805
 147.1175 148.1206 149.0611 149.0952 149.1338 151.0759 152.0783 153.091
 154.0948 155.1064 157.1009 158.104  159.1173 160.1221 161.0961 161.1343
 162.0987 163.1124 164.1148 165.0907 165.1279 166.1296 171.117  173.0968
 173.1325 174.0996 174.1363 175.1123 175.1485 176.1177 177.0921 177.1287
 178.1337 179.1073 180.1093 181.1227 182.125  183.1172 183.1381 185.097
 185.1336 186.1369 187.1132 187.1481 188.1526 189.0901 189.127  191.1079
 192.1098 193.1227 194.1273 195.1189 195.1387 198.1422 199.1121 199.1474
 200.153  201.1282 202.1324 203.1072 203.1433 205.1237 207.1028 209.1174
 210.1213 211.1122 211.1326 213.1291 213.1646 215.1443 216.1467 217.124
 217.1578 218.1288 219.1392 220.1431 221.1531 223.1498 225.1648 227.1457
 231.1385 232.1428 235.1344 237.1291 237.1478 241.1576 241.1948 243.174
 249.1489 251.1804 253.16   255.1389 255.1781 257.1578 259.1667 261.1647
 261.187  264.1503 269.1903 270.1947 271.1697 277.1881 279.1753 280.1781
 281.1782 287.2037 289.1807 297.1855 298.1907 315.1966 316.2019 333.2086
 334.2137 347.1044 348.1098 357.2062 361.1081 362.1156 363.1187 364.1205
 375.2176 388.1014 466.1874 495.1843 496.1852 511.1772 512.1851 513.1862
 513.2026 540.2266 639.2968 676.3092 694.3148 695.3255 698.3194 708.3427
 725.3351 726.3371 727.3359 727.3549 736.3258 737.3359 752.3443 753.3305
 754.3421 755.3441 756.3449 757.3476 768.3555 768.4003 769.3581 784.3504
 785.3514 786.3674 787.3671 788.3777]","[  1.493052   1.596417   2.147697   3.192833   2.917193   2.423338
   1.045136   1.516022   2.055817   1.125531   1.975422   4.49064
   7.878718   9.39474    1.205926   3.365109   0.895831   2.641553
   6.787642   1.148501   3.020558   2.802343   1.688297   4.146089
   3.055013   6.833582   1.159986  31.756058   2.767888   2.113242
   3.813024   1.895027   4.525095  14.769726   5.650626   1.722752
   1.205926   1.561962   9.94602    2.848283   4.984495   1.584932
   0.861376   0.895831   1.320776   7.488228   1.538992   3.009073
  10.577696   2.113242   2.480763   3.514414   1.929482 100.
   9.727805  20.110256   1.814632   2.251062   2.182152   1.332261
   7.832778   1.159986  16.079017   1.286321   1.435627  75.146434
   6.443092   1.389686   8.452969   0.953256   1.573447  14.29884
   9.32583    2.630068   1.251866  12.748363   3.146893   1.952452
   3.284713   5.237165   0.918801  31.468933   1.952452   4.892615
   1.045136   1.424141   1.332261   0.930286   5.822901   1.251866
   1.068106   2.113242   0.861376   2.388883   2.251062  34.099001
   3.813024  10.715516   1.274836   1.240381   1.079591   1.114046
   1.642357   2.848283   0.941771   8.889399   1.251866   1.906512
   4.92707    2.251062   1.159986  14.13805    1.745722   0.999196
   3.181348   5.076375   0.953256   2.055817   1.538992   1.757207
   1.056621   0.930286   6.098541   1.596417   4.077179   1.493052
   2.147697   1.274836   5.191225   1.217411   1.205926   1.895027
   1.504537   1.297806   1.676812   1.056621   2.515218   2.859768
   2.274032   1.320776   1.171471   1.033651   0.895831   1.573447
   1.435627   0.930286   3.296198   1.458597   3.456989   0.953256
   6.155966   1.091076   0.941771   2.285517   2.676008  11.485012
   2.664523  14.631905   2.446308   3.365109   1.194441   7.476743
   2.170667   0.941771   4.76628   47.77765    8.705639   1.573447
   1.975422   0.907316   1.355231   1.205926   1.148501   2.078787
   3.215803   0.941771   0.884346   0.999196   1.527507   2.090272
   2.342942   1.596417   0.987711   1.481567   1.573447   2.159182
   0.872861   1.297806   6.512002   3.835994   0.999196   0.884346
  98.277248  40.059722  11.485012   2.308487   4.51361    1.068106
   2.377397   6.110026   4.237969  23.199724  10.497301   3.456989]"
O=C(OC1C(C)C(OC)C=COC2(OC3=C(C2=O)C=4C=5N=C6C=C(C=CN6C5C(N=C(O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)=C(O)C4C(O)=C3C)C)C)C,[754.3135 755.3186 756.3211 756.3325 786.3392 787.3482],[ 19.262613   6.752911   1.164295   1.901682 100.        48.150065]
O=C(OC1C(C)C(OC)C=COC2(OC3=C(C2=O)C=4C=5N=C6C=C(C=CN6C5C(N=C(O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)=C(O)C4C(O)=C3C)C)C)C,[754.3254 786.3508 787.354 ],[  1.595648 100.        47.543064]
OC(=NC(C(O)C)C1OC(SC)C(O)C(O)C1O)C2N(C)CC(CCC)C2,"[124.1117 126.1278 127.1312 128.1333 148.0759 172.1336 278.1179 296.1303
 299.1989 317.2095 359.2199 360.2251 389.2128 407.2237 408.2268 409.2238]","[  0.713976 100.        13.62825    0.54513    0.926239   1.128853
   0.906942   0.762217   0.713976   1.645038  11.153457   1.929664
   1.833181  26.682426   7.400261   1.973081]"
O=C1C(Cl)=C(NC(=C1Cl)C)C,"[ 51.0229  58.0286  65.0382  76.0391  87.      92.0493  93.0578 101.0168
 102.0197 103.0136 120.9616 128.027  129.0344 145.0156 145.0257 156.0214
 157.0292 174.024  190.9811 190.9935 192.0003 193.9971 195.0006]","[  0.970004   3.417809   1.174381   0.757766   7.266382   0.510942
   0.606842   9.127783   2.89429    1.754496   0.665011   1.480946
   0.512514   1.153943   1.286002   1.605144   1.935291   1.807949
   0.56125    0.916551 100.        43.620299   1.613005]"
O=C(OC)C1=CC=C(N=C(O)C)C=C1OCC,[105.033  133.0638 238.098  240.1023],[  2.575588   1.469765 100.         1.805711]
ClC1=CC=C(C=NNC(=N)NN=CC2=CC=C(Cl)C=C2)C=C1,"[ 51.0224  58.0395  59.0472  60.0548  75.0216  85.0508  86.9989  98.984
 111.0003 112.9953 113.0159 115.0306 116.0372 117.0569 118.0512 123.9944
 124.0067 125.0154 125.9921 126.0194 127.0123 129.0105 131.0065 131.06
 132.0689 138.0104 139.0102 140.0077 140.0262 141.0057 141.0088 141.0299
 142.0235 142.0389 143.0263 143.0478 144.0521 150.0109 151.0059 152.0091
 153.0022 153.0212 154.0253 155.0371 156.0219 156.0405 157.0346 158.0356
 160.0485 163.0075 165.0218 169.017  170.0456 171.0132 171.0665 178.0169
 179.0231 180.0145 180.0328 181.0198 181.0355 182.0299 195.0437 196.0266
 196.0516 197.0414 197.0569 198.0483 219.0456 262.0206 263.0279 264.0191
 264.031  265.0252 277.0306 279.0294 282.064  288.0232 289.0288 290.0218
 317.0377 318.0407 319.0361 320.0378 334.0642 335.0685 336.0621 337.0633
 338.0594]","[  0.787934   2.073766   8.517426   5.544545   0.517233  16.570793
   0.700923   0.744429   1.754725   1.029632   0.609078   0.908783
   0.555905   0.59941    0.85561    3.828491   0.580074  41.243293
   0.961957   2.097936   8.826799   2.590999   0.768599   0.589742
   1.435684  90.665635   8.251559  24.20844   51.094891   1.633876
   1.47919    4.529415  10.721709   1.401847   0.618746   9.764586
   0.913617   1.121477  13.839609   1.981921   3.122734   8.657611
   0.976459 100.         0.517233   8.527094  25.204235   1.019964
   0.642916   0.787934   0.971625   2.620003   0.517233   0.536569
   1.517861  79.750568  12.771306  18.57205   38.014212   2.441147
   2.624837   9.208682  30.072026   0.957123  15.342969   6.438826
   1.962585   2.982549   0.560739   1.677382   5.800744   1.546865
   0.976459   4.162034   1.996423   1.484024   0.589742   3.432107
   0.874946   3.185575   9.629236   1.590371   6.274472   1.0393
  59.597815  12.979166  43.109199   5.06115    0.507565]"
O=C(C1=CC=C(F)C=C1)CCCN2CC=C(N3C(O)=NC=4C=CC=CC43)CC2,[165.0714 194.0984 195.1015 380.1796 381.1827 382.1856],[  3.36965   23.999341   2.974328 100.        22.709838   2.990799]
O=C(C1=CC=C(F)C=C1)CCCN2CC=C(N3C(O)=NC=4C=CC=CC43)CC2,"[123.0242 165.0714 166.0748 187.0873 194.0987 195.1012 196.1051 380.1792
 381.1828]","[  2.288476  35.805347   3.894946   1.002675 100.         9.792113
   0.650722   8.431228   2.34166 ]"
O=C(C1=CC=C(F)C=C1)CCCN2CC=C(N3C(O)=NC=4C=CC=CC43)CC2,[123.0245 124.0282 165.0721 166.0753 167.0778 187.0879 194.099  195.1018],"[ 10.220547   0.691558 100.         9.210407   0.736884   1.418082
  26.950024   3.126255]"
O=C(C1=CC=C(F)C=C1)CCCN2CC=C(N3C(O)=NC=4C=CC=CC43)CC2,[123.025  124.0281 165.0722 166.075  167.0784 187.0878 194.099  195.1021],"[ 37.527751   2.460579 100.         8.311038   0.503786   1.333466
   4.487107   0.74287 ]"
O=C(C1=CC=C(F)C=C1)CCCN2CC=C(N3C(O)=NC=4C=CC=CC43)CC2,[123.0254 124.0282 165.0723 166.0759 167.0773 172.0633 187.0881 194.0994],"[100.         6.530142  76.865445   6.84286    0.642808   0.505994
   1.103197   0.762248]"
OC(=NC=1C(=CC=CC1C)C)CN(CC)CC,[155.0697 173.0792 217.1067 235.18  ],[  0.64352    0.984206   0.72764  100.      ]
OC(=NC=1C(=CC=CC1C)C)CN(CC)CC,[132.0802 134.0957 144.0786 150.0913 155.0676 173.0795 173.105  235.1804],"[ 27.472527 100.        20.512821  27.289377  28.571429  19.413919
  14.468864  56.410256]"
OC(=NC=1C(=CC=CC1C)C)CN(CC)CC,[122.0959 134.096  173.1067],[ 23.055556 100.        26.944444]
O=C1CC2(C)C(CCC2(O)C(=O)CO)C3CCC4CC(O)CCC4(C)C13,[149.0242 329.2142 347.2253 348.2223 365.2364],[ 22.651934  47.237569 100.        24.861878  51.381215]
O=C1CC2(C)C(CCC2(O)C(=O)CO)C3CCC4CC(O)CCC4(C)C13,[149.0233 329.2137 347.2256],[ 48.165138 100.        99.541284]
O=C1CC2(C)C(CCC2(O)C(=O)CO)C3CCC4CC(O)CCC4(C)C13,[149.1338 161.0966 175.1109 293.1867 329.2175],[ 56.462585  52.380952  52.380952  53.741497 100.      ]
O=C1CC2(C)C(CCC2(O)C(=O)CO)C3CCC4CC(O)CCC4(C)C13,[149.0262],[100.]
OC1=NC(S)=NC(=C1)CCC,[154.033  171.0603 172.0631 173.0555],[  4.564025 100.         7.050309   4.400607]
OC1=NC(S)=NC(=C1)CCC,[112.0758 129.0392 154.0334 155.0368 171.0602 172.0642],[  4.799016   4.88105   74.774405   4.470878 100.         8.367514]
OC1=NC(S)=NC(=C1)CCC,[142.0187 154.0343 171.0615],[ 16.382979 100.        32.340426]
ClC1=CC=C(C=C1Cl)C2C=3C=CC=CC3C(NC)CC2,"[129.0687 158.9757 275.0396 276.0427 277.0365 278.0393 306.082  307.0845
 308.0786 309.0816]","[  2.006043   2.081074 100.        13.24357   48.466308   3.8211
  19.554319   3.146507  10.502227   1.145921]"
ClC1=CC=C(C=C1Cl)C2C=3C=CC=CC3C(NC)CC2,"[128.061  129.0687 130.0721 158.9751 159.9784 160.9723 161.9754 196.9909
 275.0383 276.0417 277.0353 278.0381]","[  1.538826  21.034141   1.631929 100.         5.197052  44.594345
   1.544975   1.292017  99.227074  11.412962  53.894935   3.567758]"
ClC1=CC=C(C=C1Cl)C2C=3C=CC=CC3C(NC)CC2,"[129.0689 130.0721 158.9751 159.9784 160.9723 161.9754 196.9903 197.9942
 198.9879 199.9898 275.0383 276.0417 277.0353]","[1.6980666e+01 1.2643990e+00 1.0000000e+02 6.0781330e+00 6.1941492e+01
 1.9203540e+00 1.2086450e+00 1.3720300e-01 6.9328600e-01 3.9270000e-02
 3.3321370e+00 5.3814500e-01 2.0323470e+00]"
ClC1=CC=C(C=C1Cl)C2C=3C=CC=CC3C(NC)CC2,[122.9991 128.061  129.0687 130.0726 158.9751 159.9784 160.9723 161.9754],"[  2.997627   4.842671  11.712527   0.900325 100.         5.119822
  48.931642   1.630543]"
OC1(CCCCC1)C(C2=CC=C(OC)C=C2)CN(C)C,[260.2011 278.2126 279.2154 280.2179],[ 38.986175 100.        26.302707   1.915434]
OC1(CCCCC1)C(C2=CC=C(OC)C=C2)CN(C)C,"[121.064  122.0674 132.0559 135.0793 147.0794 148.0827 152.1421 159.0793
 160.0831 173.0951 174.0992 177.114  178.1207 183.1159 189.1258 215.1427
 216.1457 217.151  260.2006 261.2038 262.207  278.2126 279.2154 280.2179]","[  5.862717   0.52148    0.119913   0.35481    3.693938   0.391388
   0.34161    0.985548   0.115301   1.18991    0.160468   0.17828
   0.306622   0.155538   0.102578  13.995836   1.603882   0.116733
  19.455873   2.807946   0.180347 100.        26.302707   1.915434]"
OC1(CCCCC1)C(C2=CC=C(OC)C=C2)CN(C)C,"[115.0533 117.0686 119.0853 121.0639 122.0671 128.0614 129.068  131.0476
 133.0618 135.0792 136.0825 141.0689 144.0549 145.0634 146.0699 147.0792
 148.0827 149.0227 152.1419 155.0838 158.0713 159.079  160.0836 161.0945
 162.0907 163.0977 173.0949 174.0988 178.121  179.1255 183.1158 184.1187
 187.1102 213.1268 215.1421 216.1458 260.1994 261.2034]","[  1.237491   0.628693   0.525237 100.         8.375943   0.582934
   0.662515   1.434455   1.255397   9.024531   0.76995    1.151941
   2.399379   2.178541   0.55508   85.951893   8.445576   0.748065
   2.089012   0.783877   3.398126  20.862264   2.912679   3.157392
   1.736864   2.960428  33.267015   4.613732   4.66546    0.650578
   2.403358   0.553091   1.665241   0.533195  28.770666   3.985039
   2.998229   0.801783]"
OC1(CCCCC1)C(C2=CC=C(OC)C=C2)CN(C)C,"[115.0539 116.0592 117.0697 119.0848 121.0643 122.0676 128.0613 129.0683
 130.0763 131.0484 132.0561 133.0619 135.0794 136.0831 141.0692 142.0758
 143.0842 145.0635 146.0707 147.0797 148.0827 152.1422 155.0593 155.0849
 159.0794 160.0843 161.0949 163.0976 164.1021 168.093  171.0799 172.087
 173.0954 174.0996 177.114  178.1215 183.116  186.1028 187.1101 215.1423]","[  3.8801     0.871043   2.225448   1.260373 100.         7.669466
   2.16276    2.222149   0.758863   3.238365   9.853671   1.54907
   6.455285   0.806704   2.784697   1.116848   0.953528   3.551809
   1.506178  55.434944   4.846825   0.748965   0.780309   1.139944
  14.9562     2.177607   2.312883   4.663708   0.575746   0.557599
   0.811653   0.981573  19.567118   2.664269   2.906775   1.944999
   0.864444   0.567498   0.778659   1.210881]"
OC1(CCCCC1)C(C2=CC=C(OC)C=C2)CN(C)C,"[116.06   117.0695 118.0727 119.0482 119.0851 120.0549 121.0643 122.0674
 127.0537 128.0612 129.0689 130.0761 131.0841 132.056  133.0626 134.0952
 135.0801 136.0835 141.069  142.0757 143.0484 143.0845 145.0639 146.0713
 146.0954 148.0758 149.0776 153.0692 155.0602 155.0852 157.0647 159.0789
 160.085  161.0952 163.0973 167.0845 168.092  169.0748 171.0798 172.0872
 173.095  174.1002 177.1141 178.1227 185.0951]","[  2.699598   3.67267    0.598034   0.868331   2.202926   0.571004
 100.         8.247458   1.500152   7.298037   5.517451   2.311045
   0.55411   13.183769   2.101564   0.702774   5.020779   0.733182
   6.585127   1.733284   1.966416   1.574484   6.733791   3.199649
   0.726425   6.176302   0.733182   0.973072   2.084671   1.456229
   1.925871  13.47096    2.003581   1.560969   2.959759   0.71291
   0.668987   0.787242   1.854918   1.550833   9.142819   2.00696
   0.709531   0.618306   0.915633]"
C=1C=CC2=C(C1)C(=CCCN(C)C)C=3C=CC=CC3CC2,"[ 58.0643  70.064   72.0798  79.0538  84.0801  85.0869  91.0538  92.0572
 103.0545 105.0706 106.0738 115.054  116.0575 117.0702 118.0732 128.0615
 129.0697 130.0724 141.0696 153.069  155.0853 156.0884 178.0775 179.0851
 180.0885 190.0777 191.0855 192.0905 193.1007 194.104  203.0855 204.0936
 205.1012 206.1046 207.1165 216.0931 217.1014 218.1094 219.1128 231.1174
 233.1328 234.1363 235.1392 278.1909 279.1944 280.1968]","[  7.535316   1.240989   0.734489   1.164561  24.133218   2.008511
 100.         5.835757   1.217024  59.503345   4.0792     4.287759
   0.623085  44.228689   3.419196   1.039555   7.409662   0.632801
   2.362154   0.864029  13.366539   1.652277   8.403878  10.399435
   1.149664   0.923617  32.732054   7.339711   4.491136   0.566736
   6.081882   8.390277  17.637458   2.638073   2.097893   0.645107
   1.489057  23.629957   3.623221   1.360165  63.230198  11.77385
   0.878926  72.511707  13.845187   1.074531]"
O=C1C(=C(N=C2N1CCCC2)C)CCN3CCC(C4=NOC=5C=C(F)C=CC54)CC3,[191.1198 411.226 ],[  2.4574 100.    ]
O=C1C(=C(N=C2N1CCCC2)C)CCN3CCC(C4=NOC=5C=C(F)C=CC54)CC3,[191.1199 192.1231 411.2241],[ 90.344042   7.644745 100.      ]
O=C1C(=C(N=C2N1CCCC2)C)CCN3CCC(C4=NOC=5C=C(F)C=CC54)CC3,[191.1214 192.1233 193.1261 411.2246 412.2272 413.2299],[100.        55.273921   2.179948  83.128829  20.785468   1.610422]
O=C1C(=C(N=C2N1CCCC2)C)CCN3CCC(C4=NOC=5C=C(F)C=CC54)CC3,[148.1135 150.0801 163.0884 163.1247 191.1208 192.1237 411.2245 412.2264],"[  1.068895   0.700135   1.134916   1.402338 100.        77.93103
   2.277308   0.649546]"
O=C1C(=C(N=C2N1CCCC2)C)CCN3CCC(C4=NOC=5C=C(F)C=CC54)CC3,[125.0722 148.1137 150.0803 163.0884 163.125  191.1221 192.1236],"[  0.686889   2.898341   2.695013   3.925331   4.460321 100.
  76.729363]"
C=1C=CC2=C(C1)N(C=3C=CC=CC3CC2)CCCN(C)C,"[ 58.0645  59.0677  86.0966  87.0993 193.0882 208.1122 209.1151 236.143
 237.1466 281.2012 282.2051]","[ 76.395733   2.217968 100.         7.085639   3.234187  13.929953
   2.477079   5.159913   0.652138   7.845189   1.555019]"
FC(F)(F)C1=CC=C(OC(C=2C=CC=CC2)CCNC)C=C1,[148.1114 149.115  265.159  310.1421 311.1446 312.1467],[ 11.048285   1.140407   2.411055 100.        13.519695   1.280972]
FC(F)(F)C1=CC=C(OC(C=2C=CC=CC2)CCNC)C=C1,"[117.069  148.1094 149.115  159.1158 187.1104 195.1151 196.1203 205.102
 219.1148 220.121  223.1105 224.1151 232.1252 247.1476 248.1494 265.1577
 310.1415 311.1443]","[  0.87382    4.287545   1.200047   3.774904   2.36514    3.099149
   0.920424   0.885471   4.835139   1.269952  10.509146   2.458348
   0.955377   7.491553   1.071886 100.         4.788535   0.885471]"
