smiles,m/z,I
O=S(=O)(NC=1N=C(N=C(OC)C1)OC)C2=CC=C(N)C=C2,"[112.051  123.0427 124.0502 126.0287 126.0666 127.0491 132.0559 133.0628
 138.0293 140.045  141.0521 142.0539 154.0606 156.0102 156.0405 156.0769
 157.0629 160.0507 178.0613 184.0741 201.0768 212.0705]","[  5.24379    7.773689   6.439742   5.841766   6.25575    3.955842
   9.521619   5.105796  10.579577  45.768169  46.780129   3.817847
 100.         3.679853   5.24379   17.157314   5.887764   3.909844
   9.429623   4.73781    9.015639   7.589696]"
O=S(=O)(NC=1N=CN=C(OC)C1OC)C2=CC=C(N)C=C2,"[ 53.0386  54.0339  65.0381  68.0491  69.0329  78.0332  79.0179  80.0363
  80.0493  92.0498  93.0559  96.0447 108.0463 109.049  109.0643 110.0614
 113.0359 120.0568 124.0215 124.0512 126.0665 138.0301 140.0457 141.0528
 154.0615 155.0682 156.0118 156.0771 157.0147 157.0796 158.0078 201.0773
 212.0697 213.0752 218.0236 230.0808 231.085  245.1045 246.1073 311.0829
 312.0854 313.0812]","[  0.53549    0.505437   7.755041  10.088247   1.049123   1.038195
   1.721217   0.707612   1.446642  46.272062   3.808535   1.331894
  57.395771   3.816731   0.531392   7.111633   0.703513   1.860554
   1.529971   0.572373   2.93973    0.707612  34.351948   5.744222
  32.562428   7.798754 100.        40.377575   7.961314   2.486203
   3.766188   1.349653   2.576362   0.527294   1.945249   5.531119
   0.811431  18.128791   2.479373  49.98634    8.491339   2.222556]"
O=S(=O)(NC1=NC=CC=N1)C2=CC=C(N)C=C2,[156.0106 174.0199 176.012  251.0596 252.0616 253.0565],[  9.361897   0.724251   0.693756 100.         7.867653   2.729283]
O=S(=O)(NC1=NC=CC=N1)C2=CC=C(N)C=C2,[156.0108 157.0141 158.0043 174.0231 176.0121 185.0813 251.0607 252.0634],"[100.         4.846871   4.980027   1.225033   5.099867   4.234354
  16.817577   2.223702]"
O=S(=O)(NC1=NC=CC=N1)C2=CC=C(N)C=C2,[156.011  157.0136 158.0032 176.013  185.0823],[100.         6.785714  12.678571  17.232143  21.875   ]
O=S(=O)(NC1=NC=CC=N1)C2=CC=C(N)C=C2,[156.0113 185.0824],[ 87.096774 100.      ]
O=S(=O)(NC(=N)N)C1=CC=C(N)C=C1,"[ 60.0555  68.0492 108.045  110.061  120.0566 122.0012 156.0115 157.0139
 158.0102 173.0366 215.0609]","[ 23.099915   4.953032   6.063194   3.458582   3.714774   3.672075
 100.         6.917165   3.885568   3.586678   6.831768]"
O=S(=O)(NC=1ON=C(C1C)C)C2=CC=C(N)C=C2,"[ 53.0379  54.0338  55.0174  58.0646  65.0381  66.0407  67.0169  68.049
  69.033   71.0604  72.0439  78.0343  79.0173  80.0504  86.0601  92.0498
  93.0537  96.0452  99.0449 108.0459 109.0486 110.0611 113.0718 114.0754
 120.0559 140.0172 156.0117 157.0145 158.0075 173.0148 175.0181 268.0751]","[  0.707055   1.052953   4.827306   0.646015   5.661529   0.539193
   0.503586  14.939722   1.480238   4.547535   1.241162   1.236075
   1.322549   0.610407   1.480238  11.791037   0.539193   2.624752
   6.917951  15.092324   2.141513   6.449972  24.385778   2.314462
   5.061295   1.922783 100.         8.535531   4.562796   1.276769
   0.722315   4.079556]"
O=S(=O)(NC1=NN=C(OC)C=C1)C2=CC=C(N)C=C2,[126.0657 156.0104 204.0433 215.0921 279.0906 281.0702 282.0735 283.0673],"[  0.881548   5.608471   2.026548   0.552234  33.286047 100.
   8.349377   2.284933]"
O=S(=O)(NC1=NN=C(OC)C=C1)C2=CC=C(N)C=C2,"[124.0863 125.0904 126.0654 127.0682 156.0107 157.0136 158.0072 186.0328
 187.0367 188.012  204.0433 205.0477 206.0214 206.0416 213.1123 215.0934
 216.0968 279.0909 281.0704 282.0729 283.0653 283.074 ]","[ 10.216677   0.590327  21.385926   1.066613 100.         4.762863
   2.374723   5.88985    0.7312     3.528544  28.074059   2.166767
   0.751325   1.03978    3.595626   4.682364   0.684242  17.260347
  23.512444   2.428389   0.711075   0.878782]"
O=S(=O)(NC1=NN=C(OC)C=C1)C2=CC=C(N)C=C2,"[122.0706 124.0864 125.0903 126.0656 156.0108 157.0132 158.007  186.0321
 188.0114 204.0436 205.0451 213.1142 215.0947]","[  4.016787  45.143885   2.48801   63.429257 100.         4.886091
   4.406475   7.943645   5.845324  24.190647   4.046763   7.703837
   9.082734]"
O=S(=O)(NC1=NN=C(OC)C=C1)C2=CC=C(N)C=C2,"[122.0701 124.0495 124.0864 125.0903 126.066  156.0111 172.0749 204.0441
 213.113 ]","[  6.354009   5.975794  68.835098   7.110439 100.        27.080182
  11.573374  10.287443  13.615734]"
O=S(=O)(NC1=NN=C(OC)C=C1)C2=CC=C(N)C=C2,[124.0867 125.0901 126.0661 172.075 ],[ 99.793814  20.412371 100.        31.340206]
O=S(=O)(NC1=NC=CC(=N1)C)C2=CC=C(N)C=C2,"[ 53.0383  54.0337  55.017   65.0382  66.0416  68.0491  69.0332  78.0334
  79.0174  80.0497  81.0443  82.0279  92.0496  93.0561  94.0648  96.0448
 108.0462 109.0494 110.0727 111.075  120.0558 156.0119 157.0146 158.0079
 172.0175 173.0195 174.0218 190.029  191.0307 192.0249 199.0986 200.1001
 201.1135 265.0768 266.08   267.0739]","[  0.705694   0.57707    0.524925   9.05583    0.716123  13.488146
   1.679066   1.863311   1.772926   1.161093   2.183133   0.740457
  22.112911   2.336091   4.644372   1.588681  32.733088   2.155322
  33.769033   2.009317   3.900438 100.         7.369812   4.849475
   8.680387   0.563165   4.640896  68.313287   4.102065   2.183133
  22.074671   2.092748   1.658208  58.214559   6.250435   2.304804]"
O=S(=O)(NC1=NN=C(S1)C)C2=CC=C(N)C=C2,"[ 53.0386  55.018   58.0646  65.038   68.049   78.0339  79.018   92.0494
  96.044  108.0451 109.0486 110.0606 111.0651 116.0271 120.0554 156.0116
 157.0141 158.0074 177.9744 271.0324]","[  0.543259   0.547748   4.485251   3.897095   9.670902   0.722848
   1.162843   6.882773   0.704889  10.654155   0.579177   6.599919
   0.763256   6.57747    4.808513 100.         8.561936   4.934225
   1.22121    5.239528]"
O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,"[ 53.0385  54.0335  55.0173  59.0491  60.0554  65.0382  66.0421  67.0413
  68.049   69.0331  72.0439  78.0338  79.0173  80.0498  92.0496  93.0575
  94.0648  96.0448  99.0562 100.0585 107.0613 108.046  109.0488 110.0605
 111.0648 119.0609 120.0562 131.0597 132.0682 133.0628 146.071  147.0791
 148.0864 156.0119 157.0146 158.0078 160.0873 161.0015 161.0911 172.087
 173.0594 174.0211 176.0288 188.0822 189.0855 190.0981 194.0379 254.0603
 255.0624 256.0566]","[  0.708585   0.665758   1.086237   0.545065   0.825384   7.915126
   0.525599   0.599572  18.189605   1.031731   1.203037   1.911622
   2.40218    1.537863  19.026669  20.611252   2.347674   1.38213
  15.939264   0.856531   1.27701   30.885731   2.943352   8.421258
   1.082344   0.747518   3.710337   0.883784   0.992797   0.790345
   6.684836  19.260269   5.283239 100.         9.087016   4.960093
  20.868211   2.051781   2.5073     0.552852   0.747518   1.12517
   1.34709   13.60327    1.26533    3.340471   3.145805  25.999611
   2.57738    0.985011]"
O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,"[108.0448 132.0668 146.07   147.0777 148.085  156.0101 157.0131 158.0062
 160.0855 160.9998 161.0891 176.0263 188.0806 189.0835 190.0963 194.0372
 254.0589 255.0601 256.0537]","[  0.515846   0.76317    4.395294  11.811469   3.105678 100.
   7.094654   4.328163  11.839734   1.430944   1.059958   1.112956
  10.210932   1.254284   2.70996    1.911458  19.277108   2.356641
   0.8515  ]"
O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,"[108.0435 119.0605 121.0752 130.0531 131.0587 132.0674 133.0619 133.0741
 143.0595 146.0698 147.078  148.0855 156.0103 157.0132 158.0065 159.0537
 160.0858 161.0005 161.09   173.0581 176.0271 188.0817]","[  4.449457   2.481033   1.783884   1.599344   2.542547   1.865901
   2.624564   2.829608   3.916342  20.237851  28.624154   7.566127
 100.        10.92885    4.51097    1.681361  41.213861   4.367439
   3.772811   2.522042   4.121386   3.342219]"
O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,"[108.044  119.0586 121.0744 131.0598 133.0706 143.0608 145.0614 146.0707
 147.0778 156.011  157.0131 159.0773 160.0857]","[ 17.517241  10.482759  12.413793  14.896552  13.103448  18.206897
  12.827586  87.448276  69.517241 100.        11.862069  15.586207
  69.103448]"
O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,[119.0605 129.043  146.0703 147.0773 159.0781],[ 21.689498  18.721461 100.        34.018265  21.689498]
O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,[147.078  148.0859 156.0099 157.0129 190.0964 194.037  254.0592],"[  1.238314   0.653717   9.713208   0.6256     1.729188   0.654889
 100.      ]"
O=S(=O)(NC1=NC(=C(O1)C)C)C2=CC=C(N)C=C2,"[ 53.0379  54.0338  55.0174  58.0646  65.0381  66.0407  67.0169  68.049
  69.033   71.0604  72.0439  78.0343  79.0173  80.0504  86.0601  92.0498
  93.0537  96.0452  99.0449 108.0459 109.0486 110.0611 113.0718 114.0754
 120.0559 140.0172 156.0117 157.0145 158.0075 173.0148 175.0181 268.0751]","[  0.707055   1.052953   4.827306   0.646015   5.661529   0.539193
   0.503586  14.939722   1.480238   4.547535   1.241162   1.236075
   1.322549   0.610407   1.480238  11.791037   0.539193   2.624752
   6.917951  15.092324   2.141513   6.449972  24.385778   2.314462
   5.061295   1.922783 100.         8.535531   4.562796   1.276769
   0.722315   4.079556]"
O=S(=O)(NC1=NC=CC=C1)C2=CC=C(N)C=C2,"[ 53.0383  55.0175  65.0381  67.0411  68.049   69.033   78.0333  79.0176
  80.0494  82.0285  92.0497  93.0447  93.0569  94.0527  95.0609  96.0445
  96.0643 108.0464 109.0486 110.061  120.056  121.0577 156.0117 157.0106
 158.0081 167.0614 168.0676 169.0744 183.0791 184.0876 185.0907 186.1027
 250.0658 251.069  252.0629]","[  0.689529   0.549182   8.045521   1.38516   13.982792   1.525506
   1.925189   2.059434   1.17464    0.533927  26.516353   1.858067
   6.510862   6.660361  47.345619   2.382841   2.553698  33.606907
   2.834391   6.727484   3.337808   0.552233 100.        15.529656
   5.42165    1.522455   0.540029   0.713937   0.594948  76.644496
   7.691604   2.581157  64.467903   7.871613   2.611667]"
O=S(=O)(N)C1=CC=C(N)C=C1,[ 65.0381 108.0472 125.0479 156.0125 173.0383],[ 17.51663   18.403548  26.16408   47.006652 100.      ]
O=S(=O)(NC1=NC=CS1)C2=CC=C(N)C=C2,"[ 45.0339  53.0384  54.0336  55.0179  65.0385  68.0489  78.0336  79.0172
  89.0598  92.0491  96.0452 101.017  108.0455 109.0471 110.0608 120.0551
 140.0176 156.0113 157.0146 158.0069 162.9631 190.0428 256.0209 257.0258
 258.0174]","[  1.692359   0.636729   0.552949   0.649296   2.990952   9.29122
   1.164544   0.988606   1.411696   8.491119   0.628351   4.26441
  14.209115   1.365617   4.536696   2.693532   1.001173 100.
   8.863941   3.899966   1.068197   1.499665   9.630529   0.783345
   0.770777]"
O=S(=O)(C1=CC=C(N)C=C1)C2=CC=C(N)C=C2,"[ 53.0382  54.0334  55.0177  60.0555  65.0381  66.0416  68.0489  69.0328
  74.095   78.0333  79.0177  80.0495  82.029   92.0497  93.0573  94.0605
  96.0442 108.0464 109.0489 110.061  111.0638 120.0559 156.0116 157.0143
 158.0076 249.0704 250.0721 251.0672]","[  0.888362   0.894943   0.720561   1.260159  13.299115   0.802816
  21.248314   1.888593   0.625144   1.944527   3.55345    1.720791
   0.598822  27.246405  14.93765    1.098937   2.892113  37.353996
   3.438292   9.617346   0.582371   4.474715 100.         9.939789
   4.306913  28.210443   3.69493    1.059454]"
O=S(=O)(NC1=NC=C(OC)C=N1)C2=CC=C(N)C=C2,"[ 53.0386  54.0334  55.0173  65.0381  66.0421  68.049   69.0326  69.044
  78.0338  79.0178  80.0498  82.0399  92.0499  93.0575  94.0654  95.0688
  96.0449 108.0465 109.0492 110.0349 110.0615 111.0645 120.0567 124.0504
 125.0585 126.0664 127.0695 149.0229 156.0116 157.015  157.0645 158.0073
 172.0745 174.0218 185.0589 188.0128 200.07   201.0738 206.0239 207.0257
 208.0233 215.0936 216.0971 217.1087 218.1111 281.0719 282.074  283.0684]","[  0.768485   0.876216   1.062951   7.562754   0.506338  14.102058
   1.12759    0.506338   1.224548   1.939168   0.815169   0.621252
  26.081804   9.645563   7.318562   0.61407    1.414874  31.19187
   2.312637   0.883399   8.431788   0.653571   2.711244   3.393543
   6.783496  62.62434    3.558732   0.725392 100.         7.96136
   0.983948   5.016698   4.768916   2.413186   1.497468   5.43326
   4.395447   0.714619  28.685316   1.070133   0.858261  59.223615
   6.981003   4.833555   0.538658  64.096671   9.196682   2.039717]"
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CCNCC3)C4CC4,"[204.0711 205.0824 228.1592 231.0582 231.0961 232.063  245.1106 246.1137
 249.0701 250.0705 268.1429 272.1212 273.091  286.1366 288.1534 289.1557
 312.1366 314.1319 315.1357 332.1449 333.1474 334.1497]","[  1.244483   0.853773   1.056364  12.177122   0.745243   2.235728
   5.809999   0.615006   5.071992   0.846538   0.600535   0.607771
   0.817596   0.607771   5.093698   1.555604   2.626438   9.08762
   1.266189 100.        18.688952   2.387671]"
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CC4N(C)CC3C4)C5CC5,"[ 82.0651 245.1094 255.0576 261.1036 283.1255 286.1006 314.1673 318.1627
 340.147  341.1494 342.1594 358.1585 359.1611 360.1719 362.1529]","[  1.091158   1.613017   1.416222   1.91348    0.952347   0.500773
   1.048988   2.614563  11.259488   2.256115   0.593899 100.
  26.273897  11.046879   1.425007]"
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CC4N(C)CC3C4)C5CC5,"[203.0632 204.068  218.0491 229.0794 231.0906 245.1088 255.0563 256.0626
 257.0682 258.0688 286.1    340.1453 341.1519 342.1609 358.1566 359.1592]","[  3.121516   3.381643   2.731327   1.969528   1.932367  10.293571
  17.744333   3.140097   1.895206   1.63508    9.866221  26.62579
   5.31401    4.756596 100.        14.083984]"
O=C(O)C1=CN(C2=CC(=C(F)C=C2C1=O)N3CC4N(C)CC3C4)C5CC5,"[187.0665 189.0455 202.0659 203.0613 204.0716 205.0774 215.024  215.0618
 217.0406 217.0793 218.0476 229.0757 231.0918 240.1041 243.0567 245.1082
 254.0502 255.0565 256.0623 258.0692 271.0732 273.066  274.0741 286.0986
 340.1484 358.1565 359.1598]","[  4.254254   4.954955   5.905906   9.50951    5.105105   4.454454
  12.062062   3.953954  15.315315   4.004004  10.46046    5.905906
   3.803804   4.154154  11.061061  11.361361   5.755756 100.
  22.472472   4.654655   4.454454   5.555556   3.853854  26.326326
  14.264264  33.683684   8.358358]"
O=C(O)C1=CN(C2=CC=C(F)C=C2)C3=CC(=C(F)C=C3C1=O)N4CCN(C)CC4,"[ 58.0651 285.0853 299.1011 300.1045 306.1414 311.0994 334.1364 354.1092
 354.1434 355.1454 356.1597 357.1628 358.1633 380.1434 382.1391 383.141
 400.1496 401.153  402.156 ]","[  1.146988   1.425433  20.16298    4.217545   1.563378   0.595208
   1.009043   0.947734   1.019261   0.533899  26.8712     5.798804
   0.633526   0.929852   7.934399   2.291422 100.        32.360905
   3.039902]"
O=C(O)C1=CN(C2=CC=C(F)C=C2)C3=CC(=C(F)C=C3C1=O)N4CCN(C)CC4,"[199.0748 299.1018 299.1622 356.1603 357.1656 382.1409 383.1457 400.1507
 401.154  402.158 ]","[  0.623249   1.295518   0.546218  13.081232   3.116246   7.009804
   2.107843 100.        27.338936   3.270308]"
